,model,bootstrap_iteration,discrimination_slope
489,covariates only,89,0.065497965
490,covariates only,90,0.120217055
491,covariates only,91,0.11838561
492,covariates only,92,0.045246303
493,covariates only,93,0.06945801
494,covariates only,94,0.10480079
495,covariates only,95,0.06855908
496,covariates only,96,0.10893163
497,covariates only,97,0.047335237
498,covariates only,98,0.045308948
499,covariates only,99,0.108462125
